id,label_en
Q106333,الأمير عبيد الله الأول الأعرج
Q106418,عبدالله  بن العباس
Q106496,خلیفه سوم از خلفای راشدین عثمان بن عفان
Q106504,عبدالرحمن  بن أبي بكر الصديق
Q106588,إدريس الأنور
Q106618,عبد الله شاه غازي
Q106624,عبد الله الصالح  الحسني
Q106640,موسى بن جعفر الكاظم
Q106642,علي العريضي  الحسيني
Q106819,علي  بن عبدالله
Q106829,علي السجاد
Q106831,عبد الله
Q106833,سليمان
Q106907,داعی کبیر - حسن بن زید - امام حسن مجتبی(ع)
Q106965,محمد
Q107023,موسى الثاني  الحسني
Q107051,بن الإمام جعفر الصادق
Q107075,سید ابو القاسم حمزه
Q107083,الشريف إبراهيم المرتضى  بن الإمام موسى الكاظم
Q107135,الشريف أبو الحسنيه أحمد الشعراني  بن أبي الحسن علي العريضي
Q107261,عبيد الله الثاني
Q107318,محمد  بن علي
Q107334,منصور دوانیقی
Q107336,الخليفة أبو العباس السفاح عبدالله  بن محمد
Q107482,علي حيدرة
Q107523,داود أمير مكة  الحسني
Q107533,آمنه بنت عبدالله
Q107535,داعی کبیر - حسن بن زید
Q107541,بن الإمام جعفر الصادق
Q107563,ابراهيم المجاب  الحسيني الهاشمي
Q107575,Seyyed Abu Mohammad Qasim (8)  سید قاسم
Q107585,موسى أبو سبحة
Q107589,بن الإمام جعفر الصادق
Q107635,الحسيني
Q107637,الحسيني
Q107639,الحسيني
Q107743,ناصر کبیر یا النصیر الحق یا العطروش
Q107757,علي المحدث أبو الحسين
Q107879,المهدی
Q107887,محمد المهدي
Q107889,جعفر
Q107891,عيسى
Q107893,أسماء
Q108051,سلام ابن مزوار
Q108083,محمد المدني  الحسني
Q108161,الحسيني الهاشمي
Q108172,Seyyed Ahmad al-Arabi (9)  سید احمد اعرابی
Q108184,إبراهيم المرتضى
Q108186,الشريف أحمد الصالح  بن الشريف موسى أبي سبحة
Q108188,بن الشريف موسى أبي سبحة
Q108190,إبراهيم المرتضى
Q108192,إبراهيم المرتضى
Q108194,الحسين الأكبر
Q108196,إبراهيم المرتضى
Q108198,إبراهيم المرتضى
Q108200,إبراهيم المرتضى
Q108204,بن الإمام جعفر الصادق
Q108382,داعی صفیر - چهارمین حاکم دولت علویان طبرستان
