qid,property_count,properties,restored_from_xml,entity_type
Q50084,7,"P39,P20,P47,P5,P11,P15,P60",True,restored
Q50188,7,"P39,P20,P47,P5,P11,P15,P60",True,restored
Q50257,6,"P39,P20,P5,P11,P15,P60",True,restored
Q50265,7,"P39,P20,P47,P5,P11,P15,P60",True,restored
Q50327,7,"P39,P20,P47,P5,P11,P15,P60",True,restored
Q50376,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q50428,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q50540,7,"P39,P42,P20,P5,P11,P15,P60",True,restored
Q50544,9,"P39,P42,P20,P47,P48,P5,P11,P15,P60",True,restored
Q50613,8,"P39,P47,P42,P20,P5,P11,P15,P60",True,restored
Q50617,8,"P39,P48,P42,P20,P5,P11,P15,P60",True,restored
Q50669,9,"P39,P42,P20,P47,P48,P5,P11,P15,P60",True,restored
Q50705,9,"P39,P47,P48,P42,P20,P5,P11,P15,P60",True,restored
Q50779,1,P39,False,unlabeled
