# GEDCOM ID to Wikibase QID Mapping
# Generated by repair_then_upload.py

# Properties
alternate_name	P6
birth_date	P7
burial_date	P9
child	P20
death_date	P8
father	P22
full_name	P5
gedcom_refn	P41
given_name	P3
husband	P18
instance_of	P39
marriage_date	P10
mother	P21
notes_page	P15
occupation	P12
parent_family	P16
residence	P13
sex	P11
source	P14
spouse	P42
spouse_family	P2
surname	P4
wife	P19

@I8805@	Q1728
@I8809@	Q1730
@I880@	Q1102
@I881@	Q1103
@I8829@	Q1737
@I882@	Q1104
@I883@	Q1105
@I8849@	Q1745
@I884@	Q1106
@I8854@	Q1747
@I885@	Q1107
@I886@	Q1108
@I8879@	Q1755
@I887@	Q1109
@I8882@	Q1757
@I888@	Q1110
@I8891@	Q1762
@I8893@	Q1761
@I889@	Q1111
@I8905@	Q1766
@I890@	Q1112
@I8910@	Q1768
@I8911@	Q1769
@I8916@	Q1772
@I8917@	Q1771
@I891@	Q1113
@I8928@	Q1775
@I892@	Q1114
@I8933@	Q1777
@I8936@	Q1778
@I893@	Q1115
@I8942@	Q1781
@I8945@	Q1780
@I894@	Q2846
@I8957@	Q1784
@I895@	Q1117
@I8960@	Q1786
@I896@	Q1118
@I8971@	Q1789
@I8972@	Q1788
@I897@	Q1119
@I8985@	Q1792
@I8988@	Q1794
@I898@	Q1120
@I8999@	Q1797
@I899@	Q1121
@I9000@	Q1796
@I900@	Q1122
@I9010@	Q1801
@I9013@	Q1803
@I901@	Q1123
@I9022@	Q1806
@I9023@	Q1805
@I9035@	Q1811
@I9038@	Q1813
@I903@	Q1125
@I9045@	Q1816
@I9046@	Q1815
@I9058@	Q1821
@I905@	Q1127
@I9068@	Q1827
@I906@	Q1128
@I9079@	Q1832
@I907@	Q1129
@I9084@	Q1835
@I9088@	Q1837
@I9089@	Q1838
@I908@	Q1130
@I9098@	Q1856
@I909@	Q1131
@I9104@	Q1848
@I910@	Q1132
@I9113@	Q1852
@I911@	Q1133
@I912@	Q1134
@I9132@	Q1861
@I9137@	Q1862
@I9158@	Q1876
@I9159@	Q1877
@I915@	Q1137
@I9162@	Q1878
@I916@	Q1138
@I9174@	Q1883
@I9183@	Q1888
@I9186@	Q1891
@I9188@	Q1893
@I9210@	Q1903
@I9218@	Q1906
@I921@	Q1142
@I9221@	Q1908
@I9223@	Q1910
@I9224@	Q1911
@I9234@	Q1916
@I923@	Q1143
@I9247@	Q1924
@I924@	Q1144
@I9254@	Q1927
@I9255@	Q1928
@I9258@	Q1942
@I9260@	Q1930
@I9261@	Q1931
@I926@	Q1145
@I9271@	Q1982
@I9278@	Q1939
@I9287@	Q1944
@I9288@	Q1945
@I928@	Q1147
@I9295@	Q1950
@I929@	Q1148
@I9301@	Q1952
@I9304@	Q1954
@I9305@	Q1955
@I9307@	Q1956
@I930@	Q1149
@I9313@	Q1958
@I9315@	Q1959
@I931@	Q1150
@I932@	Q1151
@I9337@	Q1968
@I933@	Q1152
@I9346@	Q1972
@I934@	Q1153
@I9363@	Q1978
@I9368@	Q1983
@I9379@	Q1988
@I937@	Q1156
@I9384@	Q1989
@I9388@	Q1991
@I938@	Q1157
@I9392@	Q1993
@I9393@	Q1994
@I9399@	Q1998
@I9404@	Q1999
@I9409@	Q2001
@I940@	Q1158
@I9414@	Q2004
@I941@	Q4067
@I9421@	Q2010
@I9437@	Q2015
@I943@	Q1160
@I9440@	Q2018
@I9444@	Q2019
@I9448@	Q2020
@I944@	Q1161
@I9452@	Q2021
@I945@	Q1162
@I9467@	Q2027
@I946@	Q1163
@I9480@	Q2031
@I9484@	Q2032
@I9488@	Q2033
@I948@	Q1164
@I9497@	Q2034
@I9499@	Q2035
@I949@	Q1165
@I9513@	Q2043
@I951@	Q1167
@I9528@	Q2045
@I952@	Q2856
@I9540@	Q2047
@I9548@	Q2051
@I9549@	Q2052
@I955@	Q1171
@I9561@	Q2055
@I9562@	Q2056
@I9568@	Q2057
@I956@	Q1172
@I9573@	Q2059
@I9585@	Q2064
@I9588@	Q2065
@I9594@	Q2066
@I9596@	Q2067
@I9599@	Q2069
@I959@	Q1174
@I9609@	Q2073
@I9612@	Q2074
@I9616@	Q2075
@I9618@	Q2076
@I961@	Q1176
@I9623@	Q2079
@I9637@	Q2086
@I9641@	Q2087
@I964@	Q1178
@I9652@	Q2095
@I9658@	Q2100
@I9665@	Q2101
@I9678@	Q2623
@I9680@	Q2108
@I9681@	Q2109
@I9683@	Q2111
@I9685@	Q2112
@I9694@	Q2116
@I9697@	Q2117
@I9706@	Q2120
@I9713@	Q2123
@I9715@	Q2125
@I9716@	Q2126
@I9718@	Q2128
@I9719@	Q2129
@I971@	Q1184
@I972@	Q1185
@I9733@	Q2134
@I9740@	Q2137
@I9742@	Q2139
@I9744@	Q2140
@I974@	Q1186
@I975@	Q1187
@I9760@	Q2150
@I9764@	Q2151
@I9766@	Q2152
@I9771@	Q2156
@I9775@	Q2159
@I9780@	Q2163
@I9784@	Q2165
@I9805@	Q2175
@I9812@	Q2178
@I9818@	Q2181
@I9825@	Q2183
@I9826@	Q2186
@I9833@	Q2188
