# Japanese GEDCOM ID to Wikibase QID Mapping
# Generated by japanese_repair_upload.py

# Properties
birth_date	P7
child	P20
death_date	P8
full_name	P5
gedcom_refn	P41
given_name	P3
sex	P11
spouse	P42
surname	P4

# Individuals
@I11634@	Q18181
@I11635@	Q18182
@I11636@	Q18183
@I11637@	Q18184
@I11638@	Q18185
@I11639@	Q18186
@I11641@	Q18188
@I11642@	Q18189
@I1164@	Q7712
@I11659@	Q18206
@I1165@	Q7713
@I11660@	Q18207
@I11661@	Q18208
@I11662@	Q18209
@I11663@	Q18210
@I11664@	Q18211
@I11665@	Q18212
@I11668@	Q18215
@I11669@	Q18216
@I11671@	Q18218
@I11672@	Q18219
@I11678@	Q18225
@I11679@	Q18226
@I1167@	Q7715
@I11680@	Q18227
@I11681@	Q18228
@I11683@	Q18230
@I11686@	Q18233
@I11687@	Q18234
@I11688@	Q18235
@I11690@	Q18237
@I11691@	Q18238
@I11694@	Q18241
@I11695@	Q18242
@I11696@	Q18243
@I11697@	Q18244
@I11698@	Q18245
@I11699@	Q18246
@I116@	Q6660
@I11703@	Q18250
@I11704@	Q18251
@I11706@	Q18253
@I11710@	Q18257
@I11712@	Q18259
@I11714@	Q18261
@I11720@	Q18267
@I11726@	Q18273
@I11732@	Q18279
@I11733@	Q18280
@I11737@	Q18284
@I11738@	Q18285
@I11740@	Q18287
@I11742@	Q18289
@I11743@	Q18290
@I11744@	Q18291
@I11745@	Q18292
@I11746@	Q18293
@I11747@	Q18294
@I11751@	Q18298
@I11752@	Q18299
@I11753@	Q18300
@I11754@	Q18301
@I11759@	Q18306
@I11760@	Q18307
@I11775@	Q18322
@I11776@	Q18323
@I11779@	Q18326
@I11780@	Q18327
@I11782@	Q18329
@I11786@	Q18333
@I11793@	Q18340
@I11795@	Q18342
@I11796@	Q18343
@I11798@	Q18345
@I11799@	Q18346
@I117@	Q6662
@I11800@	Q18347
@I11810@	Q18357
@I11811@	Q18358
@I11812@	Q18359
@I11813@	Q18360
@I11819@	Q18366
@I11820@	Q18367
@I11821@	Q18368
@I11822@	Q18369
@I11823@	Q18370
@I11825@	Q18372
@I11826@	Q18373
@I11827@	Q18374
@I11829@	Q18376
@I1182@	Q7730
@I11830@	Q18377
@I11835@	Q18382
@I11836@	Q18383
@I11837@	Q18384
@I11838@	Q18385
@I11841@	Q18388
@I11846@	Q18393
@I11848@	Q18395
@I11850@	Q18397
@I11852@	Q18399
@I11856@	Q18403
@I11858@	Q18405
@I11862@	Q18409
@I11867@	Q18414
@I11869@	Q18416
@I11871@	Q18418
@I11872@	Q18419
@I11874@	Q18421
@I11875@	Q18422
@I11878@	Q18425
@I11879@	Q18426
@I1187@	Q7735
@I11881@	Q18428
@I11882@	Q18429
@I11884@	Q18431
@I11886@	Q18433
@I11887@	Q18434
@I11888@	Q18435
@I11891@	Q18438
@I11895@	Q18442
@I11897@	Q18444
@I11900@	Q18447
@I11905@	Q18452
@I11906@	Q18453
@I11907@	Q18454
@I11908@	Q18455
@I11909@	Q18456
@I11913@	Q18460
@I11918@	Q18465
@I1191@	Q7739
@I11924@	Q18471
@I11926@	Q18473
@I11927@	Q18474
@I11928@	Q18475
@I11929@	Q18476
@I11932@	Q18479
@I11933@	Q18480
@I11934@	Q18481
@I11937@	Q18484
@I11938@	Q18485
@I11939@	Q18486
@I11940@	Q18487
@I11943@	Q18490
@I11944@	Q18491
@I11946@	Q18493
@I11947@	Q18494
@I11948@	Q18495
@I11950@	Q18497
@I11952@	Q18499
@I11954@	Q18501
@I11955@	Q18502
@I11956@	Q18503
@I11957@	Q18504
@I11958@	Q18505
@I11959@	Q18506
@I1195@	Q7743
@I11960@	Q18507
@I11961@	Q18508
@I11962@	Q18509
@I11963@	Q18510
@I11965@	Q18512
@I11967@	Q18514
@I11968@	Q18515
@I11969@	Q18516
@I11971@	Q18518
@I11972@	Q18519
@I11973@	Q18520
@I11975@	Q18522
@I11976@	Q18523
@I11977@	Q18524
@I11978@	Q18525
@I11979@	Q18526
@I1197@	Q7745
@I11980@	Q18527
@I11982@	Q18529
@I11983@	Q18530
@I11986@	Q18533
@I11995@	Q18542
@I11996@	Q18543
@I11997@	Q18544
@I119@	Q6665
@I11@	Q6452
@I12001@	Q18548
@I12002@	Q18549
@I12003@	Q18550
@I12004@	Q18551
@I12005@	Q18552
@I12006@	Q18553
@I12012@	Q18559
@I12013@	Q18560
@I12019@	Q18566
@I1201@	Q7749
@I12020@	Q18567
@I12021@	Q18568
@I12022@	Q18569
@I12023@	Q18570
@I12025@	Q18572
@I12027@	Q18574
@I12028@	Q18575
@I1202@	Q7750
@I12033@	Q18580
@I12034@	Q18581
@I12035@	Q18582
@I12039@	Q18586
@I1203@	Q7751
@I12040@	Q18587
@I12043@	Q18590
@I12045@	Q18592
@I12046@	Q18593
@I12047@	Q18594
@I12049@	Q18596
@I1204@	Q7752
@I12052@	Q18599
@I12053@	Q18600
@I12054@	Q18601
@I12058@	Q18605
@I12059@	Q18606
@I1205@	Q7753
@I12064@	Q18611
@I1206@	Q7754
@I12076@	Q18623
@I12077@	Q18624
@I12078@	Q18625
@I12080@	Q18627
@I12081@	Q18628
@I12082@	Q18629
@I12083@	Q18630
@I12084@	Q18631
@I12085@	Q18632
@I12089@	Q18636
@I12095@	Q18642
@I12096@	Q18643
@I12097@	Q18644
@I12099@	Q18646
@I1209@	Q7757
@I120@	Q6667
@I12100@	Q18647
@I12101@	Q18648
@I12102@	Q18649
@I12104@	Q18651
@I12105@	Q18652
@I12107@	Q18654
@I12108@	Q18655
@I12109@	Q18656
@I1210@	Q7758
@I12115@	Q18662
@I12116@	Q18663
@I12119@	Q18666
@I12120@	Q18667
@I12121@	Q18668
@I12122@	Q18669
@I12123@	Q18670
@I12124@	Q18671
@I12125@	Q18672
@I12126@	Q18673
@I12128@	Q18675
@I1212@	Q7760
@I12130@	Q18677
@I12132@	Q18679
@I12133@	Q18680
@I12137@	Q18684
@I1213@	Q7761
@I12141@	Q18688
@I12142@	Q18689
@I12146@	Q18693
@I12148@	Q18695
@I1214@	Q7762
@I12150@	Q18697
@I12152@	Q18699
@I1215@	Q7763
@I12160@	Q18707
@I12161@	Q18708
@I12162@	Q18709
@I12163@	Q18710
@I12164@	Q18711
@I12169@	Q18716
@I1216@	Q7764
@I12171@	Q18718
@I12173@	Q18720
@I12174@	Q18721
@I12177@	Q18724
@I12182@	Q18729
@I12184@	Q18731
@I12185@	Q18732
@I1218@	Q7766
@I12190@	Q18737
@I12194@	Q18741
@I12198@	Q18745
@I1219@	Q7767
@I121@	Q6669
@I12200@	Q18747
@I12201@	Q18748
@I12206@	Q18753
@I12208@	Q18755
@I12209@	Q18756
@I1220@	Q7768
@I12210@	Q18757
@I12211@	Q18758
@I12212@	Q18759
@I12219@	Q18766
@I1221@	Q7769
@I12220@	Q18767
@I12221@	Q18768
@I12222@	Q18769
@I12224@	Q18771
@I12227@	Q18774
@I12228@	Q18775
@I12229@	Q18776
@I1222@	Q7770
@I12231@	Q18778
@I12233@	Q18780
@I12234@	Q18781
@I12235@	Q18782
@I12236@	Q18783
@I12237@	Q18784
@I1223@	Q7771
@I12243@	Q18790
@I12244@	Q18791
@I12248@	Q18795
@I12249@	Q18796
@I1224@	Q7772
@I12250@	Q18797
@I12251@	Q18798
@I12253@	Q18800
@I12254@	Q18801
@I12255@	Q18802
@I12256@	Q18803
@I12257@	Q18804
@I12258@	Q18805
@I12259@	Q18806
@I1225@	Q7773
@I12260@	Q18807
@I12265@	Q18812
@I12268@	Q18815
@I1226@	Q7774
@I12271@	Q18818
@I12280@	Q18827
@I12282@	Q18829
@I12283@	Q18830
@I12284@	Q18831
@I12288@	Q18835
@I1228@	Q7776
@I12290@	Q18837
@I1229@	Q7777
@I12304@	Q18851
@I12305@	Q18852
@I12306@	Q18853
@I12307@	Q18854
@I1230@	Q7778
@I12311@	Q18858
@I12312@	Q18859
@I12313@	Q18860
@I1231@	Q7779
@I12322@	Q18869
@I12325@	Q18872
@I12327@	Q18874
@I12328@	Q18875
@I12332@	Q18879
@I12334@	Q18881
@I12335@	Q18882
@I12338@	Q18885
@I12339@	Q18886
@I12340@	Q18887
@I12341@	Q18888
@I12344@	Q18891
@I12345@	Q18892
@I12346@	Q18893
@I12347@	Q18894
@I12348@	Q18895
@I12349@	Q18896
@I1234@	Q7782
@I12350@	Q18897
@I12358@	Q18905
@I12359@	Q18906
@I1235@	Q7783
@I12360@	Q18907
@I12361@	Q18908
@I12365@	Q18912
@I12379@	Q18926
@I12381@	Q18928
@I12382@	Q18929
@I12391@	Q18938
@I12392@	Q18939
@I12393@	Q18940
@I12394@	Q18941
@I123@	Q6671
@I12400@	Q18947
@I12402@	Q18949
@I12409@	Q18956
@I12411@	Q18958
@I12413@	Q18960
@I12421@	Q18968
@I12422@	Q18969
@I12423@	Q18970
