# Entities lacking both identifiers and family relationships
qid,english_label,english_description,has_p39_no_identifiers,has_p39_no_relatives
Q16827,Daimonjiya Shinjūrō,,No,No
Q16828,Ping Jing Ding Wu Noniang  (qian Jing Chang Zheng Nozheng Shi ),,No,No
Q16845,Kyōgoku Takakiyo,,No,No
Q16846,Kyōgoku Takanobu,,No,No
Q16847,Kyōgoku Tadataka,,No,No
Q16848,An Mao Gao Zheng,,No,No
Q16849,Jin Tian Xin Cheng Noniang  (jing Ji Gao Zhi Nozheng Shi ),,No,No
Q1685,Adwayawarman \ Adwaya Brahman (Rakyan Maha menteri Singosari) Adwaya Brahman (Rakyan Maha menteri Singosari),,No,No
Q16850,Mao Li Xiu Lai Noniang  (jing Ji Gao Zhi Noji Shi ),,No,No
Q16851,Sojiin (wife of Kyogoku Takatomo),,No,No
Q16852,Takehara clan (Wife of Kyogoku Takatomo),,No,No
Q16853,Kyōgoku Takahiro,,No,No
Q16855,Jing Ji Chang Zi,,No,No
Q16857,Daughter of Narita Ujinaga (wife of Koyama Hidetsuna),,No,No
Q1686,Puti Reno Marak \ Dara Jingga [EM] Dara Jingga [EM] ?.,,No,No
Q16863,Shinzō no kata,,No,No
Q16865,Shōgonin,,No,No
Q16868,Shōkōin,,No,No
Q16871,Date Sōshin,,No,No
Q1688,Tumbine-Kaan Bordzhigin,,No,No
Q16884,Rong Song Yuan,,No,No
Q16886,Shan Ming Li Ding,,No,No
Q16887,Daughter of Hosokawa Takakuni (wife of Yamana Toyosada),,No,No
Q16888,Shan Ming Li Zheng,,No,No
Q16889,Daughter of Yamana Toyokuni (wife of Toki Yorikatsu),,No,No
Q16890,Shan Ming Li Yi,,No,No
Q16898,Qian Tian Xiao Ji,,No,No
Q1690,Dyah Wiyat Rajadewi Maharajasa,,No,No
Q16901,Nagaoka Kyūmu,,No,No
Q16903,Xi Chuan De,,No,No
Q16904,Xi Chuan Fu,,No,No
Q16909,Chang Li,,No,No
Q16910,Lady Gojo (concubine of Maeda Toshitsune),,No,No
Q16911,Jing Ji Fang,,No,No
Q16919,Qian Tian Chun Ji,,No,No
Q16923,Kanshūji Haruhide,,No,No
Q16924,Su Wu Yuan Zi,,No,No
Q16925,Daughter of Mori Hideyori (wife of Manri no Koji Mitsufusa),,No,No
Q16927,Madenokōji Takafusa,,No,No
Q1693,Sri Hismatupa Kumala Ranggawuni Singsari,,No,No
Q16931,daughter of Oda Nobukage (wife of Matsudaira Tadaaki),,No,No
Q16936,Yu Xi Duo Xiu Gui,,No,No
Q16937,Yu Xi Duo Zhen Ji,,No,No
Q16938,Yu Xi Duo Fu Li Ji,,No,No
Q16939,Yu Xi Duo Onagunofang,,No,No
Q1694,Srimat Tribhuwanaraja Mauliawarmadewa (Raja Dharmasraya Kerajaan Jambi) Trailokyaraja,,No,No
Q16940,Gamō Sadahide,,No,No
Q16941,Gamō Ujisato,,No,No
Q16942,Pu Sheng Zhong Xiang,,No,No
Q16943,daughter of Gamō Masahide (wife of Fuse Chubei and later wife of Seki Kazumasa),,No,No
Q16944,daughter of Gamō Masahide (wife of Tamaru Naomasa),,No,No
Q16945,daughter of Gamō Masahide (wife of Ogura Yukiharu),,No,No
Q1695,Prabu Munding Sari Padjajaran II,,No,No
Q16952,Jun Ji Ni,,No,No
Q16953,Dui Jing Ji,,No,No
Q16955,Cheng Yu,,No,No
Q16958,Song Ping Cheng Zheng,,No,No
Q16960,Song Ping Chang Qing,,No,No
Q16961,Dao Tian Jing Xin,,No,No
Q16962,daughter of Naitō Yoshikiyo (Wife of Shimada Kagenobu),,No,No
Q16963,Naitō Nobumasa,,No,No
Q16964,Shui Ye Xian Sheng,,No,No
Q16965,Shui Ye Qing Zhong,,No,No
Q16966,Daughter of Matsudaira Masayasu (wife of Mizuno Tadamasa),,No,No
Q16968,Yu Zhang Nofang,,No,No
Q16969,Miao Chun Ni,,No,No
Q1697,Baisonkur Bordzhigin,,No,No
Q16971,Shui Ye Jin Xin,,No,No
Q16972,Miao Shun Ni,,No,No
Q16973,Shōjō-in,,No,No
Q16977,Shui Ye Shou Zhong,,No,No
Q16979,Shui Ye Wei Ze,,No,No
Q16980,Shui Ye Shou Zhong,,No,No
Q16981,Daughter of Matsudaira Nobutada (wife of Mizuno Nobumoto),,No,No
Q16982,Nakane clan (mistress of Oda Nobuhide later concubine of Mizuno Nobumoto),,No,No
Q16984,Daughter of Hisamatsu Toshikatsu (wife of Isshiki Akikatsu),,No,No
Q16985,Song Ji,,No,No
Q16988,Song Ping Feng,,No,No
Q16992,Guang Shou Yuan  (bao Ke Zheng Zhi Noce Shi ),,No,No
Q16995,Bao Ke Zheng Zhi Noniang  (jia Teng Ming Cheng Nozheng Shi ),,No,No
Q16996,Bao Ke Zheng Zhong,,No,No
Q16997,daughter of Hoshina Masanao (wife of Kohinata Gentazaemon),,No,No
Q16999,daughter of Oda Nagamasu (wife of Matsudaira Tadayori),,No,No
Q1700,Dewi Suprabha Wijayatunggadewi \ Puteri Swarnabumi Sriwijaya Puteri Swarnabumi Sriwijaya,,No,No
Q17002,Matsudaira Tadahisa (Sakurai Matsudaira family),,No,No
Q17008,Hei Tian De,,No,No
Q1701,Prabu Darmasiksa Raja Sunda-Galuh,,No,No
Q17012,daughter of Sugihara Nagafusa (wife of Hojo Ujishige),,No,No
Q17013,daughter of Matsudaira Chikayoshi (wife of Sakai Tadakatsu),,No,No
Q17014,Daughter of Sakai Ietsugu (wife of Matsudaira Tadayoshi),,No,No
Q1702,"Raja Suran Raja Tersi Perderas,Maharaja Malayu I - Trailokyaraja (1183-1286",,No,No
Q17023,Ōsuga Tadamasa,,No,No
Q17029,Chojuin (wife of Matsudaira Sadayuki),,No,No
Q17031,Song Ping Oman,,No,No
Q17032,Song Ping Ju Ji,,No,No
Q17033,Zhi Xiang Yuan,,No,No
Q17036,Tsuruhime Matsudaira (daughter of Matsudaira Sadatsuna),,No,No
Q17039,Chang Rong Yuan,,No,No
Q1704,Kaidu-Khan Bordzhigin,,No,No
Q17041,Song Ping Ding Cheng,,No,No
Q17045,Qiu Shan Xin Teng,,No,No
Q17046,Qiu Shan Chang Xiu,,No,No
Q17049,Saigō Masakatsu,,No,No
Q17050,Xi Xiang Yuan Zheng,,No,No
Q17051,Shan Tian Sheng Zhong,,No,No
Q17053,Tōyama Masakage,,No,No
Q17054,Yuan Shan Zhi Sheng,,No,No
Q17056,Daughter of Oyama Takatomo (wife of Edo Shigemichi),,No,No
Q17057,Ōkōchi Hidetsuna,,No,No
Q17058,Ōkōchi Hisatsuna,,No,No
Q17059,Daughter of Yamaguchi Hirosada (wife of Matsudaira Masatsuna),,No,No
Q17063,Song Ping Zheng Gang Noniang  (ku Zhi Hui Nozheng Shi ),,No,No
Q17064,Song Ping Zheng Gang Noniang  (ben Duo Li Chang Nozheng Shi ),,No,No
Q17065,Shi Guang Yuan  (song Ping Zhong Zheng Nozheng Shi ),,No,No
Q17066,Song Ping Zheng Gang Noniang  (gou Kou Zhong Xiong Nozheng Shi ),,No,No
Q17067,Fa Xiu Yuan  (san Zhai Kang Sheng Nozheng Shi ),,No,No
Q17068,Song Ping Zheng Gang Noniang  (dao Xie Zheng Neng Noqi ),,No,No
Q17069,Song Ping Zheng Gang Noniang  (sakaki Yuan Zhao Qing Noqi ),,No,No
Q1707,Raja Sulan Indrawarman -Dharmasraya,,No,No
Q17070,Song Ping Zheng Gang Noniang  (shen Bao Mao Ming Nozheng Shi ),,No,No
Q17073,Chang Gu Chuan Teng Guang,,No,No
Q17074,San Jing Ji Zheng Noniang  (bei Tiao Shi Zhi Nomu ),,No,No
Q17075,Ōkubo Nagayasu,,No,No
Q17076,Jian Gong Xin Gao,,No,No
Q1708,[50] Ratna Wisesa daughter of Rakryan Jayagiri,,No,No
Q17080,Jiu Jing Zhong Zhong Noniang  (ben Duo Zheng Chun Nozheng Shi ),,No,No
Q17082,Song Ping Zhong Qin,,No,No
Q17083,daughter of Matsudaira Chikanaga (wife of Matsudaira Shigeyoshi),,No,No
Q17085,Song Ping Zhong Ji Noniang  (shi Chuan Kang Zheng Noqi Nochisong Ping Kang Qin Noji Shi ),,No,No
Q17086,Song Ping Zhong Mao,,No,No
Q1709,Dharma Kusuma Darmawisaya,,No,No
Q17096,Kyōdai-in,,No,No
Q1710,Mahesatanduran Jenggolo III,,No,No
Q17101,Enshōin,,No,No
Q17109,Sukehito-shinnō,,No,No
Q1711,Dutum-Menen Bordzhigin,,No,No
Q17111,Empress Meishō,,No,No
Q17115,Jishōin,,No,No
Q17116,Hōju-in,,No,No
Q17119,Keishōin,,No,No
Q17121,Eikōin,,No,No
Q17122,Hōshin-in,,No,No
Q17128,Shōkō-in,,No,No
Q17129,Nei Teng Ju Ji,,No,No
Q17134,Bao Ke Mo Xu,,No,No
Q17135,Shi Ji,,No,No
Q17136,Bao Ke Zheng Chun,,No,No
Q1714,[49] NN (Ket. ke-5 Sangrama-Vijayottunggawarman) daughter of NN (Ket. ke-4 Sangrama-Vijayottunggawarman,,No,No
Q17145,Hui Lin Yuan,,No,No
Q17149,Qian Ye Hua Ji,,No,No
