id,label_en,translation
Q146067,Isod ferch Ieuan ap Gruffudd ap Trahaearn Llwyd,Isod ferch Ieuan son of Gruffudd son of Trahaearn Llwyd
Q146068,Margred ferch Thomas ap Gruffudd ap Trahaearn Llwyd,Margred ferch Thomas son of Gruffudd son of Trahaearn Llwyd
Q146069,Morgan ap Dafydd ap Gwilym ap Jenkin,Morgan son of Dafydd son of Gwilym son of Jenkin
Q146070,Lewys ap Dafydd ap Philip ap Llywelyn of Sain Pyr,Lewys son of Dafydd son of Philip son of Llywelyn of Sain Pyr
Q146071,Dafydd ap Gwilym ap Philip ap Llywelyn,Dafydd son of Gwilym son of Philip son of Llywelyn
Q146072,Jonet ferch Dafydd ap Maredudd Gôch ap Maredudd,Jonet ferch Dafydd son of Maredudd Gôch son of Maredudd
Q146073,Owain ab Ieuan ap Hywel ap Trahaearn Llwyd,Owain son of Ieuan ap Hywel ap Trahaearn Llwyd
Q146075,Gwladus ferch Philip ap Meurig ab Aeddan,Gwladus ferch Philip ap Meurig son of Aeddan
Q146076,Morgan Fychan ap Dafydd ap Morgan ap Dafydd of Ryhdodyn,Morgan Fychan son of Dafydd son of Morgan son of Dafydd of Ryhdodyn
Q146077,Gwilym ap Dafydd ap Gwilym ap Jenkin of the Chapel,Gwilym son of Dafydd son of Gwilym son of Jenkin of the Chapel
Q146078,Gruffudd ap Philip ap Jenkin ab Adam,Gruffudd ap Philip ap Jenkin son of Adam
Q146079,Thomas ap John ap Gwilym ap Jenkin of Llanffhangel,Thomas son of John son of Gwilym son of Jenkin of Llanffhangel
Q146080,Roger ap John ap Gwilym ap Jenkin,Roger son of John son of Gwilym son of Jenkin
Q146081,NN ferch John ap Gwilym ap Jenkin,NN ferch John son of Gwilym son of Jenkin
Q146082,Jenkin ap Hywel,Jenkin son of Hywel
Q146084,Ieuan ap Gruffudd ab Iorwerth ab Ieuan of Llantrisant,Ieuan ap Gruffudd son of Iorwerth son of Ieuan of Llantrisant
Q146085,NN ferch Hywel ap Philip Hir ab Ieuan ap Gruffudd of Meisgyn comm,NN ferch Hywel ap Philip Hir son of Ieuan ap Gruffudd of Meisgyn comm
Q146088,Elidir ap Rhys ap Gronwy,Elidir son of Rhys son of Gronwy
Q146089,Margred ferch Gwilym ap Jenkin (Grant) ap Gwrgl of Llwyn-y-Grant,Margred ferch Gwilym son of Jenkin (Grant) son of Gwrgl of Llwyn-y-Grant
Q146091,Dafydd ap Llywelyn Crugeryr ap Philip of Maesyfed,Dafydd son of Llywelyn Crugeryr son of Philip of Maesyfed
Q146092,Hywel ap Gruffudd ap Rhys ap Hywel,Hywel son of Gruffudd son of Rhys son of Hywel
Q146093,William ap Thomas ap Gwilym ap Gwilym,William son of Thomas son of Gwilym son of Gwilym
Q146094,NN ferch John Seymour,NN daughter of John Seymour
Q146095,Gwlhafed ab Ieuan ap Seisyll ap Gwilym,Gwlhafed son of Ieuan ap Seisyll ap Gwilym
Q146098,John ap John Butler,John son of John Butler
Q146099,Gwilym ap Cynfyn Fychan ap Cynfyn ap Gwilym,Gwilym son of Cynfyn Fychan son of Cynfyn son of Gwilym
Q146102,Ann ferch Lewys ap Morgan Fawr,Ann ferch Lewys son of Morgan Fawr
Q146104,NN ferch Morgan ap Dafydd Gôch,NN ferch Morgan son of Dafydd Gôch
Q146105,Nest ferch Rhys ap Dafydd Gôch ap Dafydd Ddû,Nest ferch Rhys son of Dafydd Gôch son of Dafydd Ddû
Q146106,Llywelyn ap Hywel ap Seisyll ap Llywelyn,Llywelyn son of Hywel son of Seisyll son of Llywelyn
Q146107,"Tudur ab Einion Fychan ab Einion ab Ieuaf of Mochdre, lord of Cev","Tudur son of Einion Fychan son of Einion son of Ieuaf of Mochdre, lord of Cev"
Q146108,Einion Llwyd ap Madog Sais ap Llywelyn y Moelwyn ap Maredudd Beng,Einion Llwyd son of Madog Sais son of Llywelyn y Moelwyn son of Maredudd Beng
